genre,interpret,album,release_year,songtitle,decade,song_id,full_title,release_date_components_raw,release_date_for_display,stats_raw,lyrics
Rock,OK KID,Sensation,2018,Warten auf den starken Mann,2010,3245019,Warten auf den starken Mann by OK KID,"{'year': 2017, 'month': 9, 'day': 22}","September 22, 2017","{'unreviewed_annotations': 10, 'hot': False, 'pageviews': 11865}","Warten auf den starken Mann Lyrics
Vielleicht denkt hier auch jemand mal an mich
Das Dorf, in dem ich wohne, ist zwar malerisch
Doch nicht, wenn man die Farben mischt
Sowas wird man wohl doch nochmal sagen dürfen
Ich fürchte mich
Dass ein Minarett bald höher als die Kirche ist
Du hast mir doch gesagt, zu was das führt
Heute noch im Fernsehen, morgen schon vor meiner Tür
Ich bin nicht die hellste Kerze auf dem Baum, doch hab erkannt
Meine weichen Knie brauchen eine harte Hand
Hier spiel'n die Kinder immer noch ""Angst vor dem schwarzen Mann""
Meine Angst hat schwarz-rot-goldene Farben an
Ich steh' stramm für dich, steh mein' Mann für dich
Irgendwann stell ich die Lügner an die Wand für dich
Warten auf den starken Mann, ich liefer' mich aus
Du lässt meinen Sorgen freien Lauf
Gib mir bitte ein Gefühl, ja
Gib mir bitte ein Gefühl, ja
Gib mir einfach irgendeins
Auch wenn du mich belügst
Glaub ich dir jedes Wort, denn du hast meins
Gib mir bitte ein Gefühl, ja
Gib mir einfach irgendeins
Nur nicht das Gefühl (nein, nein, nein)
Ein Verlierer zu sein

Wie schön, du hast uns etwas mitgebracht
Hass, Hass, hast du extra schön verpackt
Endlich hab ich auch mal was, endlich auch mal stark
Du fackelst nicht lang, du fackelst nur ab!
Raus auf die Straße, Junge, heute wird gekehrt
Einer muss ja dafür sorgen, dass sich Unkraut nicht vermehrt
Ich glaube nur noch, was ich fühle
Meine Gewalt ist nur ein stummer Schrei nach Hieben!
Es fing an mit Montagsdemo, dann kam Petry, danach Heil
Heil, das hab ich nie gesagt, nein, das redet ihr euch ein!
Warten auf den starken Mann, ich liefer mich aus
Du lässt meinen Sorgen freien Lauf

Gib mir bitte ein Gefühl, ja
Gib mir bitte ein Gefühl, ja
Gib mir einfach irgendeins
Auch wenn du mich belügst
Glaub ich dir jedes Wort, denn du hast meins
Gib mir bitte ein Gefühl, ja
Gib mir einfach irgendeins
Nur nicht das Gefühl (nein, nein, nein)
Ein Verlierer zu sein
You might also like
Ich bin kein
Ich bin kein Verlierer
Nein, ich bin kein Verlierer (nein, nein)
Nein, ich bin kein Verlierer (nein)
Nein, ich bin kein Verlierer (nein, nein, nein)
Ich bin kein Verlierer, nein, nein (nein)
Ich bin kein Verlierer, nein, nein
Ich bin kein Verlierer, nein, nein
Ich bin kein Verlierer, ich bin dein
Ich bin kein Verlierer, ich bin dein
Ich bin kein Verlierer, ich bin dein
Nein, ich bin kein Verlierer, ich bin dein
Nein, ich bin kein Verlierer, ich bin dein
Nein, ich bin kein Verlierer, ich bin dein
Nein, ich bin kein Verlierer, ich bin dein
Nein, ich bin kein Verlierer, ich bin dein
Nein, ich bin kein Verlierer, nein, nein1Embed"
Schlager,Udo Jürgens,Es Lebe Das Laster,2002,Flug LH 804,2000,5615642,Flug LH 804 by Udo Jürgens,,,"{'unreviewed_annotations': 0, 'hot': False}","Flug LH 804 LyricsDu warst mehr als nur Affäre
Warst für Tage meine Frau
Und das Ende, ja das kannten wir
Von Anfang an genau
So war gestern unser Lachen
Auch verzweifelt gut gespielt
Und es waren uns're Herzen
Wie mein Bett so aufgewühlt
Eine Flucht in die Ekstase
Das war unser letzter Akt
Und heut' morgen in den Koffern
Hast du selbst dich weggepackt
Und nun bring' ich dich zum Airport
Es ist unabänderlich
Und zu Hause, wenn du ankommst
Wartet schon
Dein Mann auf dich...
Noch zehn Minuten: Flug LH 804
Und das Feuer, dass wir lebten
Erfriert in mir...
Noch zehn Minuten: Flug LH 804
Und langsam kommt
Der Abschied von dir...
Und ich sehe deinen Rücken
Wie du zum Flugzeug gehst
Und ich weiß genau, dass du dich
Nicht noch einmal zu mir drehst
Du gehörst jetzt wieder denen
Die daheim sich auf dich freu'n
Und dort wirst du uns verschweigen
Es wird nie
Geschehen sein
Noch fünf Minuten: Flug LH 804
Und dann sind alle Träume
Verflogen mit dir...
Noch fünf Minuten: Flug LH 804
Ich hab nur den Gedanken:
Bleib hier...
Dein Duft an meiner Jacke
Ist noch so unendlich nah
Ich bestell' mir Wodka-Tonic
In der Last-Minute-Bar
Und ich trink' ihn auf die Nächte
Die es nun nie wieder gibt
Und ich werde nichts vergessen
Denn ich habe dich geliebt!
Eine Minute: Flug LH 804
Und dann sind uns're Träume
Verflogen mit dir...
Eine Minute: Flug LH 804
Jetzt ist er da, der Abschied
Von dir...You might also likeEmbed"
Pop,Annett Louisan,Zu Viel Information,2014,Das Rezept,2010,1966749,Das Rezept by Annett Louisan,"{'year': 2014, 'month': 2, 'day': 14}","February 14, 2014","{'unreviewed_annotations': 0, 'hot': False}","Das Rezept LyricsPaul ist 75 Jahre
Und die Hose ist auf kurz
Wenn er sich bückt um was zu reparier'n
Führt das sehr oft zum Sturz
Wenn er was trinkt
Dann kriegt er Schluckauf
Doch ich mag das irgendwie
Und irgendwie ist Paul sehr glücklich
Und schlecht drauf seh ich ihn nie
Agathe Schramm heißt seine Frau
Ist ziemlich streng und sehr genau
Und wenn Paul Witze macht und lacht
Schaut sie adrett und mit Bedacht
Wenn man genau hinsieht, dann grinst sie
Weil sie ihn noch immer mag
Und das seit 55 Jahren
Und das bis zum letzten Tag
Und manchmal frag ich mich wieoft
Wie oft verliebt man sich und doch geht man getrennt
Und mit dem Herz das brennt alleine weiter
Ich frag mich wie man so zu zweit für alle Zeit, die Ewigkeit
Einander treu und trotzdem frei sein kann
Ich frag mich
Wie kriegt man's hin, das sowas geht
Wo ist das Buch, in dem das steht
Was ist die Zutat, das Rezept
Dieses geheimninsvolle Kraut
Wo kommt das her, ich will das auch
Auch wenn er oft von ihr erzählt
Sie ist schon lange nicht mehr da
Doch seine Augen leuchten hell
Und er sagt oft wie schön sie war
You might also likeEs ist okay sagt er weil er sie
Ja auch bald schon wieder sieht
Zu mindenst glaubt er das und glauben
Ist das wichtigste Prinzip
Ich frag mich oft und unverhofft
Wie oft verliebt man sich und doch geht man getrennt
Und mit dem Herz das brennt alleine weiter
Ich frag mich wie man so zu zweit für alle Zeit, die Ewigkeit
Einander treu und trotzdem frei sein kann
Ich frag mich
Wie kriegt man's hin, das sowas geht
Wo ist das Buch, in dem das steht
Was ist die Zutat, das Rezept
Dieses geheimninsvolle Kraut
Wo kommt das her, ich will das auch
Sie lebten Liebe mit Gewähr
Ein Leben lang oder noch mehr
Nahmen ihr Geheimnis mit ins Grab
Ich hab sie leider nie gefragt
Hab nie gefragt
Wie kriegt man's hin, das sowas geht
Wo ist das Buch, in dem das steht
Was ist die Zutat, das Rezept
Dieses Geheimninsvolle Kraut
Wo kommt das her, ich will das auch
Wo kommt das her, ich will das auchEmbed"
Rock,Grossstadtgeflüster,Bis einer heult!!!,2008,Komm schon,2000,1101888,Komm schon by Grossstadtgeflüster,,,"{'unreviewed_annotations': 0, 'hot': False}","Komm schon LyricsKomm schon
Ich packe meinen Koffer und ich packe ein
Ein Ideal, ein' großen Traum
Ich packe meinen Koffer und ich packe ein
Ein Beutel Hoffnung, Lebensraum
Ich packe meinen Koffer und ich packe ein
Ne Tüte Freiheit, ne Tonne Lust
Ich packe meinen Koffer und ich packe ein
Ein Päckchen Mitleid und viel Genuss
Ich packe meinen Koffer, packe, packe meinen Koffer...
Komm schon
Lass uns raus
Ich kann nicht länger warten
Wir brechen heute Abend aus
Komm schon
Lass uns raus
Ich krieg die Krise
Ich nehm' dich mit, wir brechen aus
Ich packe meinen Koffer und ich packe ein
Ein neues Glück, ein großes Ziel
Ich packe meinen Koffer und ich packe ein
Ne Kiste Liebe und viel Gefühl
Ich packe meinen Koffer und ich packe ein
Ein Fläschchen Trost, ein Tränenfass
Ich packe meinen Koffer und ich packe ein
Wissensdurst und Willenskraft
Komm schon
Lass uns raus
Ich kann nicht länger warten
Wir brechen heute Abend aus
You might also likeKomm schon
Lass uns raus
Ich krieg die Krise
Ich nehm' dich mit, wir brechen aus
...Embed"
Pop,Rosenstolz,Nur Einmal Noch,1994,Die Dame von der Akademie,1990,1713747,Die Dame von der Akademie by Rosenstolz,,,"{'unreviewed_annotations': 0, 'hot': False}","Die Dame von der Akademie LyricsDas Land der Idioten hab ich es genannt
Weil tief in euch unten die Leidenschaft fehlt
Das Land der Idioten liegt drunten im Tal
Und steig ich hinab misslingt's jedesmal
Es ist viel zu spät
Ich bin die Dame von der Akademie
Und Männer werdet ihr nie
Ich bin die Dame von der Akademie
Ich sag Männer werdet ihr nie
Das Land der Idioten - es ist viel zu gross
Und schlaue Banditen die lassen nie los
Das Land der Idioten - es war heiss begehrt
Doch schlaue Bewohner sind meistens verkehrt
Ihr habt es verspielt
Ich bin die Dame von der Akademie
Das Land der Idioten liegt drunten im Tal
Und kommt einer rauf - lieb ich ihn manchmal
Ich sag es ganz ehrlich - ich weiss halt Bescheid
Denn diese Idioten die machen mich heiss
Ich bin die Dame von der Akademie...You might also likeEmbed"
Rap,Seeed,Music Monks,2003,What You Deserve Is What You Get,2000,None,None,None,None,None,None
Rap,Cro,Meine Musik,2011,Star,2010,668081,Can You Feel the Love Tonight (End Title) by Elton John,"{'year': 1994, 'month': 5, 'day': 12}","May 12, 1994","{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 293199}","Can You Feel the Love Tonight (End Title) Lyrics
There's a calm surrender to the rush of day
When the heat of a rolling wind can be turned away
An enchanted moment, and it sees me through
It's enough for this restless warrior just to be with you

And can you feel the love tonight?
It is where we are
It's enough for this wide-eyed wanderer
That we got this far
And can you feel the love tonight?
How it's laid to rest
It's enough to make kings and vagabonds
Believe the very best
There's a time for everyone if they only learn
That the twistin' kaleidoscope moves us all in turn
There's a rhyme and reason to the wild outdoors
When the heart of this star-crossed voyager beats in time with yours

And can you feel the love tonight?
It is where we are
It's enough for this wide-eyed wanderer
That we got this far
And can you feel the love tonight?
How it's laid to rest
It's enough to make kings and vagabonds
Believe the very best

It's enough to make kings and vagabonds
Believe the very bestYou might also like5Embed"
Schlager,Guildo Horn,Danke!,1997,Danke!,1990,1220992,Danke! by Guildo Horn,,,"{'unreviewed_annotations': 0, 'hot': False}","Danke! LyricsDANKE MAMA
Daß ich auf dieser Erde bin
Danke Papa
Für meinen Anstand und Benimm
Mein Dank ein Wort:
DANKE, DANKE, DANKE, DANKE!
Danke der Stadt
In der ich groß geworden bin
Danke mein Land
Ich liebe Euch, Hamburg, Köln, Berlin
Mein Dank ein Wort:
DANKE, DANKE, DANKE, DANKE!
Dem Himmel sag' ich Danke dafür
Lieb von Euch nett von Dir
Der Himmel weiß ich Danke dafür
Hier bin ich
Denn da seid ihr
Danke an Euch
Ihr ward bei mir auf meinem Weg
Danke noch mal
Daß Ihr in Treue zu mir steht
Mein Dank ein Wort:
DANKE, DANKE, DANKE, DANKE!
Dem Himmel sag' ich Danke dafür
Schau mal her
Denn hier bin ich
Ganz nah bei Dir
DANKE, DANKE, DANKE!
Dem Himmel sag' ich Danke dafür
Lieb von Euch nett von Dir
Der Himmel weiß ich Danke dafür
Hier bin Ich
Denn da seid ihrYou might also likeEmbed"
Rock,Tomte,Eine sonnige Nacht,2000,Ich habe eingesehen,2000,622069,Ich habe eingesehen by Tomte,,,"{'unreviewed_annotations': 0, 'hot': False}","Ich habe eingesehen Lyrics
Könnte ich
Einen nachmittag mit ihnen verbringen
Sie würden mir
Erzählen, wie sie
So geworden sind
Und ich erzähl ihnen
Was ich meine
Wenn ich sage

Ich habe eingesehen
Dass wir uns lächerlich machen
Für mich
Kein grund
Mitzulachen
Wenn du einer aus einer million sein willst
Bist du nur einer von tausend in china


Eingeseh'nYou might also likeEmbed"
Pop,Clueso,Weit weg,2006,Weit weg,2000,1835393,Weit weg by Clueso,,,"{'unreviewed_annotations': 0, 'hot': False}","Weit weg LyricsDas ist´ne party in meinem kopf und ich lad euch ein
Mit mir weit weg von allen problemen zu sein
Weit weg von all dem was du heut eh nicht verstehst
Komm einfach mit wenn es dir da draußen ähnlich ergeht
Wir wollen nicht vergessen sondern nur den kopf abschalten
Im falle des falle den inneren ball flach halten
Lass dich fallen schwerelos wenn du dich einlässt
Siehst du alles in allem und bist weit weit wegYou might also likeEmbed"
