genre,interpret,album,release_year,songtitle,decade,song_id,full_title,release_date_components_raw,release_date_for_display,stats_raw,lyrics
Pop,Nena,Cover Me,2007,Die Kinder deiner Kinder,2000,1367698,Die Kinder deiner Kinder by Nena,,,"{'unreviewed_annotations': 0, 'hot': False}","Die Kinder deiner Kinder LyricsDie Zeit ist Gift in deinem Blut
Die Jahre bringen dich um
Das Meer der Zeit hat immer nur Flut
Die Flut kehrt niemals um
Du bist ein Blatt, und die Zeit ist der Wind
Der treibt dich durch das Leben
Und irgendwann fällst du in den Dreck
Und der Schicksalswind trägt ein anderes Kind
Als hätte es dich niemals gegeben
Als hätte es dich niemals gegeben
Du denkst, du bist der Größte
Und besser geht es nicht
Da schlägt dir der Knochenmann
Die Sense ins Gesicht
Glaub nur nicht, was du tust
Das wäre folgenschwer
Die Kinder deiner Kinder
Kennen deinen Namen schon nicht mehr
Die Kinder deiner Kinder
Kennen deinen Namen schon nicht mehr
Sie kennen nicht mal mehr deinen NamenYou might also likeEmbed"
Schlager,Helene Fischer,Von hier bis unendlich,2006,Es gibt keinen Morgen danach,2000,719978,Es gibt keinen Morgen danach by Helene Fischer,"{'year': 2006, 'month': 2, 'day': 2}","February 2, 2006","{'unreviewed_annotations': 0, 'hot': False}","Es gibt keinen Morgen danach Lyrics
Dass es Zufall gibt
War mir nie so klar
Wie an dem Samstagabend
Du kamst mir viel zu nah
Du bist immer noch
Dieser Wahnsinns-Typ
Und leider immer noch
Nur in dich selbst verliebt

Es gibt nie mehr einen Morgen danach
Will in den Flammen der Nacht
Nie wieder frieren
Flieg nur weiter, bunter Vogel im Wind
Will deine Flügel bestimmt
Nie wieder spüren
Tanz ein letztes Mal
Heute Nacht mit mir
Die Erinnerung bleibt
Es war schön mit dir
Dieses „Weißt du noch“
Ist noch immer da
Ich hab's nie bereut
Denn es war wunderbar
Schau mich nicht so an
Mir wird kalt und heiß
Doch ich geh' allein
Weil ich einfach weiß

Es gibt nie mehr einen Morgen danach
Will in den Flammen der Nacht
Nie wieder frieren
Flieg nur weiter, bunter Vogel im Wind
Will deine Flügel bestimmt
Nie wieder spüren
Tanz ein letztes Mal
Heute Nacht mit mir
Die Erinnerung bleibt
Es war schön mit dir

Flieg nur weiter, bunter Vogel im Wind
Will deine Flügel bestimmt
Nie wieder spüren
Tanz ein letztes Mal
Heute Nacht mit mir
Die Erinnerung bleibt
Es war schön mit dirYou might also likeEmbed"
Pop,Max Giesinger,"Der Junge, der rennt",2016,Vielleicht im nächsten Leben,2010,2460857,Vielleicht im nächsten Leben by Max Giesinger,,,"{'unreviewed_annotations': 0, 'hot': False}","Vielleicht im nächsten Leben LyricsWeißt du noch wir zwei im Garten deiner Eltern
Hamm gelabert und geknutscht die ganze Nacht
Und zwischen Kippen, Kerzen und billigem Rotwein
Uns die wildesten Versprechungen gemacht
Hamm geplant wir trampen einmal nach Sizilien
Und stranden irgendwo im niergendwo zusammen
Und da hätten wir ein Haus direkt am Wasser
Mit nem ganzen Haufen Kinder an der Hand
Manchmal kommen mir diese Gedanken
Dass alles auch genauso hätte kommen können
Was ganz großes du und ich
Villeicht im nächsten Leben
Villeicht im nächsten Leben
Falls wir uns dann wieder sehen
Lass ich dich nicht nochmal gehen
Ey was würde ich dafür geben
Vielleicht im nächsten Leben
Ich war neulich wieder mal in unserer Gegend
Paar alte Freunde hamm erzählt was du so machst
Bist wieder blond und hast ne Wohnung in der Südstadt
Du hast studiert und hast es ziemlich weit gebracht
Ey was wäre aus uns beiden wohl geworden
Hätten sich unsere Wege nicht getrennt?
Hätten wir die großen Träume durchgezogen
Wie ein Hollywood Film mit Happy End
Manchmal kommen mir diese Gedanken
Dass alles auch ganz anders hätte kommen können
Was ganz großes, du und ich
Villeicht im nächsten Leben
Villeicht im nächsten Leben
Falls wir uns dann wieder sehen
Lass ich dich nicht nochmal gehen
Ey was würde ich dafür geben
Vielleicht im nächsten Leben
You might also likeUnd ich frag mich was wohl wär
Stände ich heute Nacht vor deiner Tür
Was würdest du sagen?
Hätte ich ein Ticket mit dabei
Nach Sizilien für uns zwei
Was würdest du sagen?
Vielleicht im nächsten Leben
Ja vielleicht im nächsten Leben
Villeicht im nächsten Leben
Villeicht im nächsten Leben
Falls wir uns dann wieder sehen
Lass ich dich nicht nochmal gehen
Ey was würde ich dafür geben
Vielleicht im nächsten LebenEmbed"
Schlager,Udo Jürgens,Willkommen In Meinem Leben ,1981,Atlantis,1980,5614184,Atlantis by Udo Jürgens,,,"{'unreviewed_annotations': 0, 'hot': False}","Atlantis LyricsHabt ihr je gehört, vom Land, das einst im Sturm versank
Gebaut auf silbernem Sand und Atlantis genannt
Sonnenlicht erwärmt vom Meer umschwärmt und satt und grün
Und mit Segeln aus Gold fuhren Schiffe dahin
Wo lag diese Insel endlos weit
Von den dunklen Mächten unserer Zeit?
Nirgends war ein Zaun vom Du zum Ich, vom Fürst zum Clown
Denn der Herbst, der war reich, alt und jung waren gleich
Aber irgendwann da trug der Wind den Haß heran
Und bald herrschten wie heut' Gier und Maßlosigkeit
Und in einer rabenschwarzen Nacht
Hat eine Flut mit allem Schluß gemacht
Good-bye Atlantis, Atlantis good-bye
Soviel Hoffnung ging mit dir entzwei
Hätt' ich Freunde, ich baute dich neu
Nur aus Liebe
Und hätt' ich Freunde, ich baute dich neu
Nur aus Liebe
Freunde, die du suchst sind wir, weil wir die Zukunft sind
Wo alles neu beginnt
Wo alles neu beginnt
Wo man nicht mehr prahlt mit Geld, Verdienst und mit Gewalt
Wo man die Hand sich reicht
Die heut' zur Faust sich ballt
Komm' und laß' uns miteinander geh'n
Und neuen Mut in alle Herzen säen
Good-bye Atlantis, Atlantis good-bye
Soviel Hoffnung ging mit dir entzwei
Wir sind Freunde und bauen dich neu
Nur aus Liebe
Good-bye Atlantis, Atlantis good-bye
Soviel Hoffnung ging mit dir entzwei
Wir sind Freunde und bauen dich neu
Nur aus LiebeYou might also likeEmbed"
Pop,Annett Louisan,Zu Viel Information,2014,Dein Ding,2010,1946406,Dein Ding by Annett Louisan,"{'year': 2014, 'month': 2, 'day': 14}","February 14, 2014","{'unreviewed_annotations': 0, 'hot': False}","Dein Ding LyricsDu hast Nachts an meiner Tür geschellt
Wolltest rein in meine Welt
Dingeling Ding Ding
Dingeling Ding Ding
Hab' dir Bettchen in mein Herz gebaut
Meine Katze hat miaut
Sie war nicht dein Ding
War wohl nicht dein Ding
Einem Menschen auf den Grund zu geh'n
Um ihn besser zu versteh'n
Das ist nicht dein Ding
Dingeling Ding Ding
Die Details unsres Zusammenseins
Das war alles nicht so Deins
Aber jetzt
Schau mal ins Netz
Ich hab dein Ding gepostet
Es kam kein Kommentar
Ich hab dein Ding gepostet
Jetzt wird mir alles klar
Zwei Leute haben's geteilt
Mit dem Rest der Welt
Das ist dein Ding
Aber keinem gefällt's
Vor dem Mittagessen aufzustehen
Nur um Frühstücken zu geh'n
Das ist nicht dein Ding
Gar nicht dein Ding
Eine Kneipe in der Innenstadt
Die keinen Fussballsender hat
Das ist nicht dein Ding
Dingeling Ding Ding
Über irgendeinen Schatten spring'n
Dazu kann man dich nicht zwing'n
Das ist nicht dein Ding
Dingeling Ding Ding
You might also likeDie Details unsres Zusammenseins
Das war alles nicht so Deins
Aber jetzt
Schau mal ins Netz
Ich hab dein Ding gepostet
Es kam kein Kommentar
Ich hab dein Ding gepostet
Jetzt wird mir alles klar
Kein'n Sack hat's intressiert
Kein Schwanz hat's kommentiert
Das ist dein Ding
Dingeling Ding Ding
Das ist dein Ding
Dingeling Ding DingEmbed"
Rock,Bela B,Bye,2014,Immer so sein,2010,3309364,Immer so sein by Bela B,"{'year': 2014, 'month': 4, 'day': 4}","April 4, 2014","{'unreviewed_annotations': 0, 'hot': False}","Immer so sein LyricsDu und ich wir sind schon so weit gegangen uns hat der schwerste Sturm nichts anhaben können
So viel erlebt, wieder vorn Angefangen doch nichts konnt uns trennen
Wenn ich ehrlich bin dann hab ich eine scheiß Angst davor
Diese Worte fordern all meinen Mut
Doch heute Nacht flüsstere ich sie dir in dein Ohr denn es ist Richtig, es tut gut
Jetzt
Sag mal in Echt wär dir das Recht, dass hier bleibt für immer wär doch nicht schlecht
Hast du´s schon mal gemacht, schon mal daran gedacht würde es dich freuen könnte das mit uns zwein für immer so sein (so sein)
Für immer so sein (so sein)
Es ist doch viel zu spät uns davor zu bewahren, weil wir schon so viel zu ließen
Für mich kann nichts romantischer sein als eine Zukunft ohne dich auszuschließen
Wenn ich ehrlich bin dann hab ich eine scheiß Angst davor
Diese Worte fordern all meinen Mut
Doch heute Nacht flüsstere ich sie dir in dein Ohr denn es ist Wichtig, es tut so gut
Jetzt
Sag mal in Echt wär dir das Recht, dass hier bleibt für immer wär doch nicht schlecht
Hast du´s schon mal gemacht, schon mal daran gedacht würde es dich freuen könnte das mit uns zwein für immer so sein
Jetzt
Sag mal in Echt wär dir das Recht, dass hier bleibt für immer wär doch nicht schlecht
Würde es dich freuen könnte das mit uns zwein für immer so sein
Könnte das mit uns zweien für immer so sein (so sein)
Für immmer so sein (so sein)
Nanananana....
HEY!You might also likeEmbed"
Rock,Udo Lindenberg,Alles klar auf der Andrea Doria,1973,Alles klar auf der Andrea Doria,1970,626346,Alles klar auf der Andrea Doria by Udo Lindenberg,"{'year': 1973, 'month': None, 'day': None}",1973,"{'unreviewed_annotations': 0, 'hot': False}","Alles klar auf der Andrea Doria Lyrics
Bei Onkel Pö spielt 'ne Rentnerband
Seit 20 Jahren Dixieland
'N Groupie hab 'n die auch
Die heißt Rosa oder so
Und die tanzt auf'm Tisch
Wie 'n Go-Go-Go-Girl

Und dann Paula aus St. Pauli
Die sich immer auszieht
Und Lola hat Geburtstag
Und man trinkt darauf
Dass sie wirklich mal so alt wird
Wie sie jetzt schon aussieht
Und überhaupt ist heute alles klar auf der Andrea Doria
Gottfried heißt der Knabe da hinten am Klavier
Und für jede Nummer Ragtime kriegt er'n Korn und 'n Bier
Ein Typ in der Nische schockiert seine Braut
Und Bernie Flottmann denkt
Er wär 'n Astronaut
Jetzt kommt noch einer 'rüber aus der Dröhndiskothek
Und ich glaub' dass unser Dampfer bald untergeht
Aber sonst ist heute alles klar auf der Andrea Doria

Bei Onkel Pö spielt 'ne Rentnerband
Seit 20 Jahren Dixieland
'N Groupie hab 'n die auch
Die heißt Rosa oder so
Und die tanzt auf'm Tisch
Wie 'n Go-Go-Go-Girl

Es kommt mal wieder gar nicht darauf an
Und Leda träumt von einem Pelikan
Und überhaupt ist alles längst zu spät
Und der Nervenarzt weiß auch nicht mehr wie's weitergeht

Aber sonst ist heute alles klar auf der Andrea DoriaYou might also likeEmbed"
Pop,SDP,Schöne Scheiße,2008,Lass die Sonne rein,2000,1228383,Lass die Sonne rein by SDP,,,"{'unreviewed_annotations': 0, 'hot': False}","Lass die Sonne rein LyricsVince und Dag lassen die Sonne rein
Egal ob Himmel bedeckt, oder die Sonne scheint
Oh, lass die Sonne rein
Oh ja ja ja, lass die Sonne rein
Oh, lass die Sonne rein
Oh ja ja ja, lass die Sonne rein
Vince und Dag lassen die Sonne rein
Egal ob Himmel bedeckt, oder die Sonne scheint
Vince und Dag lassen die Sonne rein
Wir machen das was wir wollen, und wir stören keinen dabei
Heut lass ich die Sonne rein, und der Winter kann parken
Zieh den Tigertanga an und geh meinen Hintern backen
Es ist oft nicht warm, aber meistens kalt
Und ich hoff ganz doll das es heiß wird bald
Ich im Winterdress, Man, das sieht geil aus
Doch naht Wetterchen Frost, grab ich das Kriegsbeil aus
Grauer Winter, hörst du? Ich disse dich!
Bunter Sommer, komm nur, ich vermisse dich!
Meine Sonnenuhr ist wirkungslos
Doch bei Ben Hur liefen die tadellos
Na dann mache ich jetzt mal nach Italien los
Doch von welcher Kohle spar ich bloß?
Denn ich hab selten Kohle und bin öfter blank
Doch hab ich Fernweh, hol ich Ramazotti aus dem Schrank
Vielleicht reicht ja die Musik aus dem Pizzabäckerland
Und ich vergesse Berlin, Kälte und Gestank
Vielleicht reicht ja die Musik aus dem Pizzabäckerland
Oder wir singen selber, dann gib mir jetzt mal deine Hand
Vielleicht reicht ja die Musik aus dem Pizzabäckerland
Oder wir singen selber, dann gib mir jetzt mal deine Hand
Vielleicht reicht ja die Musik aus dem Pizzabäckerland
Oder wir singen selber, dann gib mir jetzt mal deine Hand
You might also likeOh, lass die Sonne rein
Oh, ja ja ja, lass die Sonne rein!
Oh, lass die Sonne rein
Oh, ja ja ja, lass die Sonne rein!Embed"
Rap,Seeed,Seeed,2012,Molotov,2010,695000,Molotov by Seeed,"{'year': 2011, 'month': 8, 'day': 12}","August 12, 2011","{'unreviewed_annotations': 4, 'hot': False, 'pageviews': 6301}","Molotov Lyrics

Die Sonne versinkt, der Himmel wird pink
Die Nacht beginnt, dein Leben macht wieder Sinn
Hmm, fühlst du den Asphalt schwing'n?
Eine Macht, die dich in einen Nachtclub zwingt
Alle wollen hin oder sind auf'm Weg
In deiner Stadt steht ein Magnet
Er zieht alle an, alle ziehen sich aus
Seeed im Haus, wouh-hou
So sieht es aus
Hey, hey
Hey, hey
Hey, hey

Vom ersten bis vierten Stock und im ganzen Block
Boxenalarm, tanzender Mob
Vermummte auf'm Dach
Barrikaden aus Schrott
Der Barmann mixt im Namen von Molotov
Liegengebliebene Autos, fliegende Fahn'n
Alle liegen sich in den Armen, heut Abend
Gibt's miese Bässe und pulsierende Farben
Wir haben Seeed zu tun und ihr habt Seeed im Magen

Egal, wo du wohnst (Wouh-hou)
Oder wie du heißt (Hey)
Egal, was du machst
Wir komm'n bei dir vorbei
Seeed im Haus
(Hey-ho, let's go)
Wir erziehn' dein'n Sohn
(Everybody let go)
Die Tochter verliebt
(Jump out the window)
Kocht uns Speck und Bohn'n
You might also like
The huge catarpillar is rampaging again
Lift you up, then punch you deep within
(Eat that Bass)
Feel it diggin' through your limbs
You wanna run, no time to save your skin
The pan piper is a silly joke compared to them
So watch out, you gonna lose your children
Young and old, everybody is following
Your mother's gone just before you count to ten, huh

Hey, hey
Hey, hey
Hey, hey

Berge versetzt, das Meer geteilt
Pyramiden gebaut und die Erde vereint
Berlin West's bestes Pferd im Stall
Das ist kein Test, wir schießen Bären ins All
Fans im Orbit, Fans im Wald
Unter Wasser, in der Wüste, im ewigen Eis
Wir sind alt, unsre Ärsche werden breit
Doch wir sind noch sehr sehr, sehr sehr tight1Embed"
Rock,Rammstein,Rosenrot,2005,Rosenrot,2000,70849,Rosenrot by Rammstein,"{'year': 2005, 'month': 12, 'day': 16}","December 16, 2005","{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 138285}","TranslationsEnglishRosenrot Lyrics

Sah ein Mädchen ein Röslein steh'n
Blühte dort in lichten Höh'n
So sprach sie ihren Liebsten an
Ob er es ihr steigen kann

Sie will es und so ist es fein
So war es und so wird es immer sein
Sie will es und so ist es Brauch
Was sie will, bekommt sie auch
Tiefe Brunnen muss man graben
Wenn man klares Wasser will
Rosenrot, oh rosenrot
Tiefe Wasser sind nicht still

Der Jüngling steigt den Berg mit Qual
Die Aussicht ist ihm sehr egal
Hat das Röslein nur im Sinn
Bringt es seiner Liebsten hin

Sie will es und so ist es fein
So war es und so wird es immer sein
Sie will es und so ist es Brauch
Was sie will, bekommt sie auch

Tiefe Brunnen muss man graben
Wenn man klares Wasser will
Rosenrot, oh rosenrot
Tiefe Wasser sind nicht still
Tiefe Brunnen muss man graben
Wenn man klares Wasser will
Rosenrot oh Rosenrot
Tiefe Wasser sind nicht still
You might also like
An seinen Stiefeln bricht ein Stein
Will nicht mehr am Felsen sein
Und ein Schrei tut jedem kund
Beide fallen in den Grund

Sie will es und so ist es fein
So war es und so wird es immer sein
Sie will es und so ist es Brauch
Was sie will, bekommt sie auch

Tiefe Brunnen muss man graben
Wenn man klares Wasser will
Rosenrot, oh rosenrot
Tiefe Wasser sind nicht still
Tiefe Brunnen muss man graben
Wenn man klares Wasser will
Rosenrot, oh rosenrot
Tiefe Wasser sind nicht still15Embed"
